lr,trainer.epoch_amount,trainer.batch_fit_amount,loader.batch_size,loader.worker_amount,loader.shuffle,time,accuracy
1e-05,3,100,10,1,True,0:00:42.194224,0.774869109947644
0.0001,3,100,10,1,True,0:00:42.224636,0.7513089005235603
0.0005,3,100,10,1,True,0:00:43.374440,0.6047120418848168
1e-05,5,100,10,1,True,0:01:08.516646,0.8036649214659686
1e-05,10,100,10,1,True,0:01:58.621986,0.9476439790575916
1e-05,10,100,25,1,True,0:01:46.876992,0.9345549738219895
1e-05,10,100,15,1,True,0:01:51.671569,0.9162303664921466
5e-05,10,100,15,1,True,0:01:54.863988,0.9738219895287958
5e-05,10,100,15,6,True,0:04:36.712367,0.9947643979057592
0.0001,10,100,15,3,True,0:02:49.673935,0.9712041884816754
0.0001,5,100,25,3,True,0:01:27.709659,0.8926701570680629
5e-05,5,100,25,4,True,0:01:47.835969,0.8717277486910995
5e-05,7,50,25,4,True,0:02:23.461334,0.9267015706806283
1e-05,7,50,25,4,True,0:02:22.574681,0.8455497382198953
5e-05,6,50,25,4,True,0:02:05.328564,0.9764397905759162
5e-05,6,50,15,4,True,0:02:10.414453,0.918848167539267
5e-05,6,50,50,4,True,0:02:02.306528,0.7722513089005235
5e-05,6,100,15,4,True,0:02:13.779070,0.9633507853403142